player_id,first_name,last_name,name,last_season,club_id,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,image_url,current_club_name,market_value_in_eur
0101,Riccardo,Calafiori,Riccardo Calafiori,2025,01,Italy,2002-05-19,Left-Back,Defender,left,188,2029-06-30,https://img.a.transfermarkt.technology/portrait/header/502821-1727382174.jpg,Arsenal,50000000
0102,Jurrien,Timber,J. Timber,2025,01,Netherlands,2001-06-17,Right-Back,Defender,right,179,2028-06-30,https://img.a.transfermarkt.technology/portrait/header/420243-1702413077.jpg,Arsenal,70000000
0103,Jakub,Kiwior,Kiwior,2025,01,Poland,2000-02-15,Centre-Back,Defender,left,189,2026-06-30,https://img.a.transfermarkt.technology/portrait/header/425918-1683101307.jpg,Porto,27000000
0104,Myles,Lewis-Skelly,Lewis-Skelly,2025,01,England,2006-09-26,Left-Back,Defender,left,178,2030-06-30,https://img.a.transfermarkt.technology/portrait/header/890721-1758053582.jpg,Arsenal,35000000
0501,Emiliano,Martinez,Martinez,2025,05,Argentina,1992-09-02,Goalkeeper,Goalkeeper,right,195,2029-06-30,https://img.a.transfermarkt.technology/portrait/header/111873-1668180824.jpg,Aston Villa,15000000
0105,Ben,White,White,2025,01,England,1997-10-08,Right-Back,Defender,right,186,2028-06-30,https://img.a.transfermarkt.technology/portrait/header/335721-1683275943.jpg,Arsenal,30000000
0201,Erling,Haaland,Haaland,2025,02,Norway,2000-07-21,Striker,Forward,left,194,2027-06-30,https://img.a.transfermarkt.technology/portrait/header/418560-1694609670.jpg,Man City,180000000
0202,Kevin,De Bruyne,De Bruyne,2025,02,Belgium,1991-06-28,Attacking Midfield,Midfielder,right,181,2025-06-30,https://img.a.transfermarkt.technology/portrait/header/88755-1694609393.jpg,Man City,50000000
0401,Mohamed,Salah,Salah,2025,04,Egypt,1992-06-15,Right Winger,Forward,left,175,2025-06-30,https://img.a.transfermarkt.technology/portrait/header/148455-1694609670.jpg,Liverpool,65000000
0402,Virgil,van Dijk,van Dijk,2025,04,Netherlands,1991-07-08,Centre-Back,Defender,right,193,2025-06-30,https://img.a.transfermarkt.technology/portrait/header/139208-1694609393.jpg,Liverpool,35000000
