player_id,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,gw,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,tackles,clearances_blocks_interceptions,recoveries
0101,2.24,0.25,2.49,4.8,0.24,0.03,0.27,0.5,150,89.3,181,41.9,11,856,1,2,7,5,0,0,0,3,0,0,11,86,13,34,42
0102,2.08,0.64,2.72,5.07,0.21,0.07,0.28,0.52,238,179.1,216,63.5,11,881,2,2,6,5,0,0,0,2,0,0,10,91,34,27,33
0103,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0104,0,0,0,0.99,0,0,0,1.04,9.8,7.2,4,2,11,86,0,0,0,0,0,0,0,1,0,0,0,12,1,4,7
0501,0,0.03,0.03,12.2,0,0,0,1.22,207.6,3,0,21,12,900,0,0,3,8,0,1,0,1,0,23,10,78,0,8,87
0105,0.01,0.01,0.02,0.87,0.01,0.01,0.02,1.12,15.4,11.3,1,2.8,11,70,0,0,1,0,0,0,0,0,0,0,1,12,2,6,4
0201,12.5,2.1,14.6,0,1.25,0.21,1.46,0,320,45.2,450,81.5,11,900,15,3,0,0,0,0,1,2,0,0,0,5,12,8,15
0202,3.2,8.5,11.7,0,0.32,0.85,1.17,0,280,350.5,120,75.1,11,900,4,12,0,0,0,0,0,1,0,0,0,15,25,18,45
0401,10.8,5.2,16.0,0,1.08,0.52,1.60,0,290,180.3,380,85.0,11,900,12,8,0,0,0,0,0,0,0,0,0,8,5,12,25
0402,1.5,0.8,2.3,8.5,0.15,0.08,0.23,0.85,180,45.2,85,31.0,11,900,2,1,8,6,0,0,0,1,0,0,10,95,45,52,68
